REGISTRO_ANIMAL rgd_pai rgd_mae idade18 GC18 p550_aj GP345_aj conformacao_sob precocidade_sob musculosidade_sob umbigo_sob aol egs egp acab altura_sob pe_sob sexo safra GM_SOB
KAP3249 CSCF551 KAP574 659 F2010S08 292,11 98,84 5,00 5,00 4,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3250 GRI8683 KAP2169 658 F2010S08 254,94 75,69 3,00 3,00 2,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3251 G9000 JGAL6500 655 F2010S08 338,40 148,89 5,00 3,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3253 CSCN7384 KAP1514 655 F2010S08 278,78 124,83 5,00 5,00 5,00 4,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3254 JAVAJ746 QUI2668 648 M2010N_INF 402,31 223,85 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 31,00 M 2010 N_INF
KAP3255 JAVAJ746 KAP602 647 M2010N_INF 389,34 213,07 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 32,00 M 2010 N_INF
KAP3256 GRI8683 KAP1450 646 M2010N_INF 361,42 175,81 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
KAP3258 JAVAJ746 KAP602 653 F2010N_INF 225,73 82,53 3,00 2,00 2,00 1,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 N_INF
KAP3259 CSCN7384 KAP1514 652 F2010S08 298,62 116,44 5,00 3,00 3,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3261 1752 PORT597 651 F2010S08 304,15 122,82 5,00 4,00 4,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3263 F6211 KAP1982 643 M2010N_INF 337,01 179,83 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 29,00 M 2010 N_INF
KAP3265 JAVAJ746 KAP576 644 M2010N_INF 396,27 233,59 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 33,00 M 2010 N_INF
KAP3266 F6211 KAP1824 651 F2010S08 289,78 147,71 5,00 4,00 3,00 2,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3267 GRI8683 KAP1450 642 M2010N_INF 353,39 161,01 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 28,00 M 2010 N_INF
KAP3268 JAVAJ746 QUI2668 651 F2010S08 299,92 119,94 4,00 4,00 4,00 3,00 0,00 0,00 0,00 0,00 0,00 0,00 F 2010 S08
KAP3269 F6211 AGRF2157 642 M2010N_INF 346,96 169,63 0,00 0,00 0,00 2,00 0,00 0,00 0,00 0,00 0,00 30,50 M 2010 N_INF
KAP3271 1752 PORT597 642 M2010N_INF 372,66 192,82 0,00 0,00 0,00 3,00 0,00 0,00 0,00 0,00 0,00 30,00 M 2010 N_INF
